"Predictor","Age","Estimate","Std. Error","z-value","Pr(>|z|)","2.50%","97.50%"
"DD_scaled","18",-0.124,0.134,-0.928,0.354,-0.386,0.138
"DD_scaled","21",-0.173,0.111,-1.558,0.119,-0.391,0.045
"DD_scaled","24",-0.122,0.082,-1.481,0.139,-0.283,0.039
"DD_scaled","27",-0.013,0.064,-0.196,0.845,-0.138,0.113
"DD_scaled","30",0.019,0.052,0.359,0.72,-0.083,0.12
"FQ_scaled","18",0.258,0.074,3.472,0.001,0.112,0.403
"FQ_scaled","21",0.207,0.081,2.567,0.01,0.049,0.365
"FQ_scaled","24",0.235,0.084,2.817,0.005,0.072,0.399
"FQ_scaled","27",0.316,0.076,4.181,0,0.168,0.464
"FQ_scaled","30",0.374,0.076,4.908,0,0.225,0.523
"LD_scaled","18",0.215,0.081,2.655,0.008,0.056,0.374
"LD_scaled","21",0.174,0.082,2.113,0.035,0.013,0.335
"LD_scaled","24",0.228,0.081,2.815,0.005,0.069,0.386
"LD_scaled","27",0.317,0.072,4.405,0,0.176,0.458
"LD_scaled","30",0.383,0.072,5.303,0,0.241,0.524
"PKC_scaled","18",4.501,0.395,11.395,0,3.727,5.276
"PKC_scaled","21",5.116,0.36,14.197,0,4.41,5.823
"PKC_scaled","24",6.219,0.361,17.242,0,5.512,6.926
"PKC_scaled","27",6.942,0.41,16.913,0,6.137,7.746
"PKC_scaled","30",8.747,0.758,11.533,0,7.261,10.234
