"Factor","LogOdds","SE","z","P(>|z|)","2.5%","97.5%","Model"
"(Intercept)",-4.85748381071695,0.0764869968864403,-63.507315079043,0,-5.00739832461437,-4.70756929681952,"Model_FQ_scaled"
"FQ_scaled",0.26356661017223,0.0171957510602148,15.3274264816519,5.01463823730408e-53,0.229862938094209,0.297270282250251,"Model_FQ_scaled"
"as.numeric(age)",0.444380679307565,0.00617102568080576,72.0108296890998,0,0.432285468973185,0.456475889641944,"Model_FQ_scaled"
"FQ_scaled:as.numeric(age)",0.0160304730767358,0.000534454340722173,29.994092769599,1.17182516120475e-197,0.0149829425689203,0.0170780035845512,"Model_FQ_scaled"
"sd__(Intercept)",2.41946546549265,NA,NA,NA,NA,NA,"Model_FQ_scaled"
"sd__(Intercept)",1.69389386311521,NA,NA,NA,NA,NA,"Model_FQ_scaled"
"(Intercept)",-4.7249183428779,0.0807085639931355,-58.5429613551267,0,-4.88310712830445,-4.56672955745136,"Model_LD_scaled"
"LD_scaled",0.474369251272912,0.0175429465044985,27.0404547577724,4.9461762384512e-161,0.439985076124095,0.508753426421729,"Model_LD_scaled"
"as.numeric(age)",0.430398010552855,0.00625979832711988,68.7558908548545,0,0.4181288058317,0.44266721527401,"Model_LD_scaled"
"LD_scaled:as.numeric(age)",0.0112387250587397,0.000503487304811368,22.3217645238351,2.27146261966135e-110,0.0102518899413095,0.01222556017617,"Model_LD_scaled"
"sd__(Intercept)",2.41998713839641,NA,NA,NA,NA,NA,"Model_LD_scaled"
"sd__(Intercept)",1.7179279690647,NA,NA,NA,NA,NA,"Model_LD_scaled"
"(Intercept)",-5.14877258139335,0.0881508836206324,-58.4086326752174,0,-5.32154831328979,-4.97599684949691,"Model_DD_scaled"
"DD_scaled",-0.306541620279984,0.0357329317242041,-8.57868653616084,9.59625961339142e-18,-0.376578166459424,-0.236505074100544,"Model_DD_scaled"
"as.numeric(age)",0.477182815428243,0.00646634061746417,73.7948777612297,0,0.464508787818013,0.489856843038473,"Model_DD_scaled"
"DD_scaled:as.numeric(age)",0.0201308959284799,0.00156125700050434,12.8940308494866,4.86338637082603e-38,0.0170708322074914,0.0231909596494684,"Model_DD_scaled"
"sd__(Intercept)",2.42023858030754,NA,NA,NA,NA,NA,"Model_DD_scaled"
"sd__(Intercept)",1.71157100121747,NA,NA,NA,NA,NA,"Model_DD_scaled"
"(Intercept)",-2.56570700924722,0.0928592772741053,-27.630055763558,4.84672748408134e-168,-2.74771119270447,-2.38370282578997,"Model_PKC_scaled"
"PKC_scaled",1.49727468410046,0.0346966970229841,43.153233955054,0,1.42926915793541,1.56528021026551,"Model_PKC_scaled"
"as.numeric(age)",0.199237781161769,0.0092189398694324,21.6117887721982,1.39152135356024e-103,0.181168659017682,0.217306903305857,"Model_PKC_scaled"
"PKC_scaled:as.numeric(age)",-0.040690667547967,0.00352641794019462,-11.5388102709463,8.40800763265747e-31,-0.0476024467107485,-0.0337788883851856,"Model_PKC_scaled"
"sd__(Intercept)",2.40382304010315,NA,NA,NA,NA,NA,"Model_PKC_scaled"
"sd__(Intercept)",1.61031217786325,NA,NA,NA,NA,NA,"Model_PKC_scaled"
